Temps 	Amplitude 

0   0


6.7896E-6	70.6982

6.808E-6	70.7347

6.8264E-6	70.5402

6.8448E-6	70.084

6.8632E-6	69.4759

6.8816E-6	68.8404

6.9E-6	68.4374

6.9184E-6	68.3987

6.9368E-6	68.7952

6.9552E-6	69.3045

6.9736E-6	69.7546

6.992E-6	69.961

7.0104E-6	69.9116

7.0288E-6	69.6359

7.0472E-6	69.3304

7.0656E-6	69.0677

7.084E-6	68.9338

7.1024E-6	68.9458

7.1208E-6	69.2881

7.1392E-6	69.798

7.1576E-6	70.3665

7.176E-6	70.6758

7.1944E-6	70.6566

7.2128E-6	70.2666

7.2312E-6	69.7481

7.2496E-6	69.342

7.268E-6	69.2195

7.2864E-6	69.2972

7.3048E-6	69.483

7.3232E-6	69.5995

7.3416E-6	69.7239

7.36E-6	69.9122

7.3784E-6	70.2082

7.3968E-6	70.4319

7.4152E-6	70.5002

7.4336E-6	70.3214

7.452E-6	70.0993

7.4704E-6	69.826

7.4888E-6	69.6398

7.5072E-6	69.4671

7.5256E-6	69.3752

7.544E-6	69.3901

7.5624E-6	69.6482

7.5808E-6	70.0564

7.5992E-6	70.3928

7.6176E-6	70.5624

7.636E-6	70.5012

7.6544E-6	70.2463

7.6728E-6	69.9397

7.6912E-6	69.5842

7.7096E-6	69.3424

7.728E-6	69.2268

7.7464E-6	69.339

7.7648E-6	69.4673

7.7832E-6	69.6778

7.8016E-6	69.7772

7.82E-6	69.7997

7.8384E-6	69.7852

7.8568E-6	69.754

7.8752E-6	69.4749

7.8936E-6	69.1184

7.912E-6	68.9159

7.9304E-6	68.9688

7.9488E-6	69.1496

7.9672E-6	69.4335

7.9856E-6	69.6872

8.004E-6	69.8484

8.0224E-6	69.8394

8.0408E-6	69.7935

8.0592E-6	69.7743

8.0776E-6	69.8911

8.096E-6	70.0892

8.1144E-6	70.3192

8.1328E-6	70.2685

8.1512E-6	70.0667

8.1696E-6	69.9407

8.188E-6	70.0133

8.2064E-6	70.0122

8.2248E-6	69.9281

8.2432E-6	69.716

8.2616E-6	69.5262

8.28E-6	69.4178

8.2984E-6	69.4672

8.3168E-6	69.5484

8.3352E-6	69.6384

8.3536E-6	69.7088

8.372E-6	69.753

8.3904E-6	69.7409

8.4088E-6	69.7613

8.4272E-6	69.7012

8.4456E-6	69.6754

8.464E-6	69.5929

8.4824E-6	69.5346

8.5008E-6	69.6188

8.5192E-6	69.7712

8.5376E-6	69.725

8.556E-6	69.5158

8.5744E-6	69.3327

8.5928E-6	69.3004

8.6112E-6	69.4854

8.6296E-6	69.7823

8.648E-6	69.7156

8.6664E-6	69.4577

8.6848E-6	69.2466

8.7032E-6	69.1815

8.7216E-6	69.1172

8.74E-6	69.1044

8.7584E-6	68.9432

8.7768E-6	68.8173

8.7952E-6	68.9581

8.8136E-6	69.4062

8.832E-6	69.7328

8.8504E-6	69.7332

8.8688E-6	69.3202

8.8872E-6	68.9323

8.9056E-6	68.9924

8.924E-6	69.6252

8.9424E-6	70.4414

8.9608E-6	70.9001

8.9792E-6	70.5747

8.9976E-6	69.9095

9.016E-6	69.4429

9.0344E-6	69.3998

9.0528E-6	69.4828

9.0712E-6	69.6258

9.0896E-6	69.6157

9.108E-6	69.5137

9.1264E-6	69.4764

9.1448E-6	69.5369

9.1632E-6	69.5076

9.1816E-6	69.5209

